country,insecurity
Afghanistan,70
Albania,30.9
Algeria,19
Andorra,
Angola,77.7
Antigua and Barbuda,33
Argentina,37
Armenia,10.7
Australia,11.9
Austria,3.3
Azerbaijan,9.5
Bahamas,17.2
Bahrain,
Bangladesh,31.7
Barbados,31.1
Belarus,
Belgium,4.8
Belize,42.3
Benin,67.9
Bermuda,
Bhutan,
Bolivia,
Bosnia and Herzegovina,12.6
Botswana,55.6
Brazil,28.9
Brunei,
Bulgaria,15.5
Burkina Faso,52.6
Burundi,
Cabo Verde,35.4
Cambodia,50
Cameroon,55.8
Canada,6.5
Central African Republic,81.3
Chad,
Chile,17.4
China,
Colombia,
Comoros,79.7
Congo,88.7
Cook Islands,
Costa Rica,15.9
Côte d'Ivoire,42.8
Croatia,11.4
Cuba,
Cyprus,
Czechia,5.8
Democratic Republic of the Congo,72.3
Denmark,5.5
Djibouti,49.2
Dominica,
Dominican Republic,
Ecuador,36.8
Egypt,27.3
El Salvador,46.5
Equatorial Guinea,
Eritrea,
Estonia,7.9
Eswatini,67
Ethiopia,56.2
Fiji,19.3
Finland,8.8
France,5.9
French Polynesia,
Gabon,
Gambia,58
Georgia,38.8
Germany,3.5
Ghana,36.6
Greece,6.8
Greenland,
Grenada,22.3
Guatemala,55.9
Guinea,73.3
Guinea-Bissau,75
Guyana,
Haiti,82.5
Honduras,49.9
Hungary,10.6
Iceland,6.3
India,
Indonesia,6
Iran (Islamic Republic of),42.4
Iraq,
Ireland,6.5
Israel,14.2
Italy,6.3
Jamaica,50.3
Japan,3.8
Jordan,43
Kazakhstan,2.7
Kenya,69.5
Kiribati,41
Kuwait,12.2
Kyrgyzstan,6.6
Lao People's Democratic Republic,31.8
Latvia,9.4
Lebanon,29.1
Lesotho,54.4
Liberia,80.6
Libya,39.4
Lithuania,9.8
Luxembourg,2.8
Madagascar,61.1
Malawi,81.3
Malaysia,15.4
Maldives,13.4
Mali,
Malta,5.2
Marshall Islands,
Mauritania,45.3
Mauritius,28.2
Mexico,26.1
Micronesia (Federated States of),
Mongolia,25.7
Montenegro,14
Morocco,31.6
Mozambique,73.7
Myanmar,25.5
Namibia,57.9
Nauru,
Nepal,37.8
Netherlands,4.4
New Caledonia,
New Zealand,14.5
Nicaragua,
Niger,
Nigeria,58.5
Niue,
North Macedonia,20.9
Norway,4.3
Oman,
Pakistan,32.6
Palau,
Palestine,28.7
Panama,
Papua New Guinea,
Paraguay,25.3
Peru,50.5
Philippines,43.8
Poland,7.4
Portugal,11.6
Puerto Rico,
Qatar,
Republic of Korea,5.3
Republic of Moldova,24.9
Romania,13.4
Russian Federation,5.5
Rwanda,
Saint Kitts and Nevis,26.9
Saint Lucia,
Saint Vincent and the Grenadines,33.3
Samoa,23.6
Sao Tome and Principe,54.6
Saudi Arabia,
Senegal,49.2
Serbia,14.1
Seychelles,
Sierra Leone,86.7
Singapore,4.6
Slovakia,7.7
Slovenia,7.4
Solomon Islands,
Somalia,77.4
South Africa,19
South Sudan,86.4
Spain,8.6
Sri Lanka,10
Sudan,50.7
Suriname,35.8
Sweden,5.3
Switzerland,2.2
Syrian Arab Republic,
Tajikistan,
Thailand,33.8
Timor-Leste,
Togo,62.5
Tokelau,
Tonga,23.2
Trinidad and Tobago,43.3
Tunisia,28
Türkiye,
Turkmenistan,
Tuvalu,
Uganda,72.5
Ukraine,22.7
United Arab Emirates,7.5
United Kingdom,3.5
United Republic of Tanzania,57.6
United States of America,8.2
Uruguay,23
Uzbekistan,23.5
Vanuatu,23.3
Venezuela ,
Vietnam,7.6
Yemen,
Zambia,69.5
Zimbabwe,73
