Date,Inacitivty rate
2020 JAN,20.2
2020 FEB,20.4
2020 MAR,20.7
2020 APR,20.8
2020 MAY,21
2020 JUN,20.9
2020 JUL,21
2020 AUG,21.1
2020 SEP,21.1
2020 OCT,21
2020 NOV,21.2
2020 DEC,21.3
2021 JAN,21.2
2021 FEB,21.4
2021 MAR,21.4
2021 APR,21.4
2021 MAY,21.2
2021 JUN,21.2
2021 JUL,21.2
2021 AUG,21.2
2021 SEP,21.3
2021 OCT,21.3
2021 NOV,21.3
2021 DEC,21.4
2022 JAN,21.5
2022 FEB,21.4
2022 MAR,21.3
2022 APR,21.1
2022 MAY,21.4
2022 JUN,21.7
2022 JUL,21.7
2022 AUG,21.6
2022 SEP,21.5
